MATNR,QUANTITY,WADAT_IST,CHANGED_FROM,CHANGED_TO,KEY,WERKS,SOURCE_TYPE,ALL_PRODUCTION_PLANT,OPTIMAL_SOURCE_LOCATION,CHARG,VGBEL,DD_FLAG,EINDT,vdatu,REFERENCE,DPG,matkl
47034,40.0,2025-04-01,DE06,LU05,Plant Movement,DE06,Single,DE06,DE06,GENERIC,4508568584,NO,2025-04-01,,1001304320102900004,,5011219
81838,30.0,2025-04-01,BE10,BE05,Plant Movement,BE04,Single,BE04,BE50,GENERIC,4508583525,NO,2025-04-01,,1001304328087900011,,5011218
88963,26.0,2025-04-01,BE10,BE07,Plant Movement,BE04,Single,BE04,BE02,GENERIC,4508584209,NO,2025-04-01,,1001304328088900002,,5011214
88963,30.0,2025-04-01,BE10,BE05,Plant Movement,BE04,Single,BE04,BE02,GENERIC,4508583525,NO,2025-04-01,,1001304328087900002,,5011214
7601911,10.0,2025-04-01,BE10,BE05,Plant Movement,,Single,,,GENERIC,4508583525,NO,2025-04-01,,1001304328087900010,,5010103
104114,210.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574180,NO,2025-04-03,,1001304321944900002,,5011218
104114,1680.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574254,NO,2025-04-03,,1001304323518900002,,5011218
104114,1960.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574201,NO,2025-04-03,,1001304321965900001,,5011218
93003,1330.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574284,NO,2025-04-03,,1001304323548900002,,5011201
93003,1330.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574167,NO,2025-04-03,,1001304321931900002,,5011201
93003,2170.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574142,NO,2025-04-03,,1001304321906900001,,5011201
93003,2030.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574187,NO,2025-04-03,,1001304321951900001,,5011201
93003,1540.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574281,NO,2025-04-03,,1001304323545900002,,5011201
93003,2100.0,2025-03-25,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574240,NO,2025-04-03,,1001304323504900001,,5011201
93003,2100.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574285,NO,2025-04-03,,1001304323549900001,,5011201
93003,2170.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574130,NO,2025-04-03,,1001304321894900001,,5011201
93003,2030.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574189,NO,2025-04-03,,1001304321953900001,,5011201
98211,12.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574201,NO,2025-04-03,,1001304321965900002,,5011201
93004,770.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574284,NO,2025-04-03,,1001304323548900001,,5011201
93004,700.0,2025-03-24,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508574167,NO,2025-04-03,,1001304321931900001,,5011201
105356,63.0,2025-03-26,DE02,IT11,Plant Movement,DE02,Single,DE02,DE02,GENERIC,4508581762,NO,2025-03-27,,1001304325573900001,,5011201
3450,140.0,2025-04-01,DE02,NL03,Plant Movement,NL02,Single,NL02,,GENERIC,4508574771,NO,2025-04-01,,1001304323434000010,,5011201
79080,44.0,2025-04-02,DE29,DE06,Plant Movement,DE29,Single,DE29,DE29,GENERIC,4508587454,NO,2025-04-01,,1001304329414900001,,5011226
3493,160.0,2025-04-01,DE06,LU05,Plant Movement,DE06,Single,"DE05,DE06",DE06,GENERIC,4508568584,NO,2025-04-01,,1001304320102900001,,5011214
7527273,5.0,2025-04-01,BE10,BE06,Plant Movement,,Single,,,GENERIC,4508582980,NO,2025-04-01,,1001304328086900010,,5010101
7593158,5.0,2025-04-03,BE06,BE10,Plant Movement,,Single,,,GENERIC,4508585093,NO,2025-04-01,,1001304328420900006,,5011217
7562731,5.0,2025-04-01,BE10,BE07,Plant Movement,,Single,,,GENERIC,4508584209,NO,2025-04-01,,1001304328088900006,,5010101
76823,10.0,2025-04-01,BE10,BE05,Plant Movement,,Single,BE04,,GENERIC,4508583525,NO,2025-04-01,,1001304328087900006,,5011201
7527271,5.0,2025-04-01,BE10,BE06,Plant Movement,,Single,,,GENERIC,4508582980,NO,2025-04-01,,1001304328086900011,,5010101
7601920,6.0,2025-04-01,BE10,BE05,Plant Movement,,Single,,,GENERIC,4508583525,NO,2025-04-01,,1001304328087900005,,5011206
7601919,6.0,2025-04-01,BE10,BE05,Plant Movement,,Single,,,GENERIC,4508583525,NO,2025-04-01,,1001304328087900004,,5011206
21418,18.0,2025-04-01,DE06,DE02,Plant Movement,DE06,Single,DE06,DE06,GENERIC,4508582227,NO,2025-03-31,,1001304326231900004,,5011227
6485,1120.0,2025-04-01,DE06,DE02,Plant Movement,DE06,Single,DE06,DE06,GENERIC,4508582227,NO,2025-03-31,,1001304326231900001,,5011204
7600442,120.0,2025-03-31,DE13,DE02,Plant Movement,,Single,,,GENERIC,4508582141,NO,2025-03-31,,1001304325973000090,,5010201
7600028,90.0,2025-03-31,DE13,DE02,Plant Movement,,Single,,,GENERIC,4508582141,NO,2025-03-31,,1001304325973000070,,5010102
7600100,40.0,2025-03-31,DE13,DE02,Plant Movement,,Single,,,GENERIC,4508582141,NO,2025-03-31,,1001304325973000190,,50101
7600021,80.0,2025-03-31,DE13,DE02,Plant Movement,,Single,,,GENERIC,4508582141,NO,2025-03-31,,1001304325973000130,,5010102
7600109,45.0,2025-03-31,DE13,DE02,Plant Movement,,Single,,,GENERIC,4508582141,NO,2025-03-31,,1001304325973000030,,50101
